date, pm10
2021/1/25, 36
2021/1/26, 22
2021/1/27, 22
2021/1/28, 23
2021/1/29, 27
2021/1/30, 39
2021/1/31, 52
2021/2/1, 25
2021/2/2, 20
2021/2/3, 36
2021/2/4, 27
2021/2/5, 27
2021/2/6, 27
2021/2/7, 22
2021/2/8, 33
2021/2/9, 27
2021/2/10, 21
2021/2/11, 24
2021/2/12, 22
2021/2/13, 34
2021/2/14, 34
2021/2/15, 21
2021/2/16, 35
2021/2/17, 35
2021/2/18, 
2021/2/19, 24
2021/2/20, 
2021/2/21, 
2021/2/22, 
2021/2/23, 16
2021/2/24, 28
2021/2/25, 21
2021/2/26, 46
2021/2/27, 30
2021/2/28, 21
2021/3/1, 27
2021/3/2, 30
2021/3/3, 37
2021/3/4, 38
2021/3/5, 39
2021/3/6, 54
2021/3/7, 29
2021/3/8, 28
2021/3/9, 36
2021/3/10, 18
2021/3/11, 34
2021/3/12, 25
2021/3/13, 26
2021/3/14, 48
2021/3/15, 47
2021/3/16, 54
2021/3/17, 69
2021/3/18, 44
2021/3/19, 40
2021/3/20, 29
2021/3/21, 29
2021/3/22, 27
2021/3/23, 19
2021/3/24, 20
2021/3/25, 40
2021/3/26, 45
2021/3/27, 45
2021/3/28, 42
2021/3/29, 39
2021/3/30, 20
2021/3/31, 16
2020/10/27, 41
2020/10/28, 50
2020/10/29, 50
2020/10/31, 38
2020/11/1, 39
2020/11/2, 25
2020/11/3, 47
2020/11/4, 50
2020/11/5, 57
2020/11/6, 68
2020/11/7, 59
2020/11/8, 61
2020/11/9, 62
2020/11/10, 64
2020/11/11, 62
2020/11/12, 52
2020/11/13, 46
2020/11/14, 52
2020/11/15, 48
2020/11/16, 57
2020/11/17, 57
2020/11/18, 60
2020/11/19, 65
2020/11/20, 47
2020/11/21, 52
2020/11/22, 
2020/11/23, 45
2020/11/24, 37
2020/11/25, 41
2020/11/26, 44
2020/11/27, 35
2020/11/28, 47
2020/11/29, 29
2020/11/30, 18
2020/12/1, 18
2020/12/2, 31
2020/12/3, 31
2020/12/4, 31
2020/12/5, 26
2020/12/6, 25
2020/12/7, 26
2020/12/8, 34
2020/12/9, 
2020/12/10, 
2020/12/11, 18
2020/12/12, 25
2020/12/13, 27
2020/12/14, 19
2020/12/15, 22
2020/12/16, 19
2020/12/17, 23
2020/12/18, 24
2020/12/19, 29
2020/12/20, 23
2020/12/21, 16
2020/12/22, 27
2020/12/23, 30
2020/12/24, 35
2020/12/25, 20
2020/12/26, 22
2020/12/27, 23
2020/12/28, 27
2020/12/29, 18
2020/12/30, 24
2020/12/31, 24
2021/1/1, 26
2021/1/2, 27
2021/1/3, 25
2020/7/1, 50
2020/7/2, 57
2020/7/3, 62
2020/7/4, 59
2020/7/5, 56
2020/7/6, 46
2020/7/7, 57
2020/7/8, 51
2020/7/9, 62
2020/7/10, 56
2020/7/11, 57
2020/7/12, 60
2020/7/13, 62
2020/7/14, 43
2020/7/15, 45
2020/7/16, 54
2020/7/17, 55
2020/7/18, 63
2020/7/19, 61
2020/7/20, 53
2020/7/21, 55
2020/7/22, 55
2020/7/23, 56
2020/7/24, 62
2020/7/28, 70
2020/7/29, 56
2020/7/30, 42
2020/7/31, 59
2020/8/1, 66
2020/8/2, 69
2020/8/3, 69
2020/8/4, 60
2020/8/5, 64
2020/8/6, 57
2020/8/7, 53
2020/8/8, 46
2020/8/9, 57
2020/8/10, 60
2020/8/11, 57
2020/8/12, 33
2020/8/13, 35
2020/8/14, 62
2020/8/15, 26
2020/8/16, 41
2020/8/17, 50
2020/8/18, 61
2020/8/19, 45
2020/8/20, 42
2020/8/21, 58
2020/8/22, 63
2020/8/23, 57
2020/8/24, 53
2020/8/25, 55
2020/8/26, 53
2020/8/27, 56
2020/8/28, 56
2020/8/29, 57
2020/8/30, 63
2020/8/31, 55
2020/9/1, 61
2020/9/2, 45
2020/9/3, 47
2020/9/4, 58
2020/9/5, 57
2020/9/6, 63
2020/9/7, 
2020/9/8, 
2020/9/9, 
2020/9/10, 
2020/9/11, 57
2020/9/12, 56
2020/9/13, 62
2020/9/14, 57
2020/9/15, 56
2020/9/16, 61
2020/9/17, 57
2020/9/18, 64
2020/9/19, 38
2020/9/20, 43
2020/9/21, 40
2020/9/22, 52
2020/9/23, 53
2020/4/1, 20
2020/4/2, 21
2020/4/3, 39
2020/4/4, 41
2020/4/5, 26
2020/4/6, 17
2020/4/7, 15
2020/4/8, 29
2020/4/9, 43
2020/4/10, 36
2020/4/11, 49
2020/4/12, 34
2020/4/13, 33
2020/4/14, 29
2020/4/15, 26
2020/4/16, 32
2020/4/17, 42
2020/4/18, 51
2020/4/19, 44
2020/4/20, 52
2020/4/21, 50
2020/4/22, 44
2020/4/23, 52
2020/4/24, 43
2020/4/25, 41
2020/4/26, 32
2020/4/27, 40
2020/4/28, 44
2020/4/29, 51
2020/4/30, 46
2020/5/1, 38
2020/5/2, 41
2020/5/3, 41
2020/5/4, 36
2020/5/5, 37
2020/5/6, 47
2020/5/7, 55
2020/5/8, 44
2020/5/9, 40
2020/5/10, 37
2020/5/11, 40
2020/5/12, 46
2020/5/13, 53
2020/5/14, 51
2020/5/15, 47
2020/5/16, 55
2020/5/17, 36
2020/5/18, 31
